Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
1,и,,and,y,Я люблю кофе и чай.,Он пришел домой и улегся на диван.,Она поет и танцует.,,,,I love coffee and tea.,He came home and laid down on the couch.,She sings and dances.,Me gusta el café y el té.,Él llegó a casa y se tumbó en el sofá.,Ella canta y baila.,other
2,в,,in,en,Я вижу звезды в небе.,Он сидел в парке.,Мы плавали в океане.,,,,I see stars in the sky.,He was sitting in the park.,We swam in the ocean.,Veo estrellas en el cielo.,Él estaba sentado en el parque.,Nadamos en el océano.,other
3,не,,not,no,Я не говорю по-испански.,Она не любит мороженое.,Он не вижу ничего в темноте.,,,,I don't speak Spanish.,She doesn't like ice cream.,He doesn't see anything in the dark.,No hablo español.,A ella no le gusta el helado.,Él no ve nada en la oscuridad.,other
4,он,,he,él,Я видел его вчера на улице.,Ему нравится петь.,"Я думаю, он придет позже.",,,,I saw him yesterday on the street.,He likes to sing.,I think he will come later.,Lo vi ayer en la calle.,Le gusta cantar.,Creo que él vendrá más tarde.,pronoun
5,на,,"on, onto","en, sobre",Я поставил книгу на стол.,Она поехала на вокзал.,Дверь закрыта на замок.,,,,I put the book on the table.,She went to the train station.,The door is locked.,Puse el libro sobre la mesa.,Ella fue al tren.,La puerta está cerrada.,other
6,я,,I,yo,Я пошел в магазин.,"Она видела, что я улыбаюсь.",Я люблю слушать музыку.,,,,I went to the store.,She saw me smiling.,I love listening to music.,Fui a la tienda.,Ella me vio sonreír.,Me encanta escuchar música.,pronoun
7,что,,what,qué,"Он спросил, что произошло.","Я не понимаю, что ты говоришь.","Скажи, что тебе нужно.",,,,He asked what happened.,I don't understand what you're saying.,Tell me what you need.,Él preguntó qué pasó.,No entiendo lo que estás diciendo.,Dime qué necesitas.,pronoun
8,тот,,that one,eso,Мне не понравилось поведение того сотрудника.,"Я купил новую книгу, но нет той, что мне нужна.",Он помнит каждый шаг того великого писателя.,,,,I didn't like the behavior of that coworker.,"I bought a new book, but not the one I need.",He remembers every step of that great writer.,No me gustó el comportamiento de ese colega.,"Compré un libro nuevo, pero no el que necesito.",Él recuerda cada paso de ese gran escritor.,pronoun
9,быть,,to be,ser,Я не могу сейчас быть на месте.,Мои друзья могут быть там вечером.,Вчера он был уставшим после работы.,,,,I cannot be in place right now.,My friends can be there tonight.,Yesterday he was tired after work.,No puedo estar en el lugar ahora.,Mis amigos pueden estar allí esta noche.,Ayer estaba cansado después del trabajo.,verb
10,с,,from,desde,Она приехала с работы.,Я получил подарок с утра.,Они ушли с улыбкой.,,,,She came from work.,I received a gift from the morning.,They left with a smile.,Ella llegó desde el trabajo.,Recibí un regalo desde la mañana.,Ellos se fueron con una sonrisa.,other
11,а,,to,a,Я хочу пойти **а** магазин.,Они поехали **а** пляж.,Мы отправляемся **а** кафе.,,,,I want to go **to** the store.,They went **to** the beach.,We are heading **to** the cafe.,Quiero ir **a** la tienda.,Ellos fueron **al** la playa.,Nos dirigimos **al** café.,other
12,весь,,"all, whole","todo, entero",Она прочитала весь день.,Его бытовая техника сломалась весьма быстро.,Во всем мире есть красота.,,,,She read all day.,His appliances broke very quickly.,There is beauty in everything.,Ella leyó todo el día.,Sus electrodomésticos se rompieron muy rápido.,Hay belleza en todo.,pronoun
13,э́то,,this/is,esto/es,"У меня есть книга, э́то путеводитель по городу.","Э́то не секрет, что мы встречаемся.","Я вижу его по почерку, э́то мой брат.",,,,"I have a book, this is a city guide.",It's no secret that we are dating.,"I can tell by his handwriting, this is my brother.","Tengo un libro, esto es una guía de la ciudad.",No es un secreto que estamos saliendo.,"Puedo decir por su letra, esto es mi hermano.",pronoun
14,как,,how,cómo,Как ты себя чувствуешь?,"Ты знаешь, как это работает?","Она объяснила, как приготовить пирог.",,,,How are you feeling?,Do you know how it works?,She explained how to bake a pie.,¿Cómo te sientes?,¿Sabes cómo funciona?,Ella explicó cómo hornear un pastel.,other
